Fornavne til kvinder, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
ZANDRA	189
VIOLETA	188
ANN-MARI	187
ENYA	187
EBRU	186
LIYANA	186
SALWA	186
YASMINA	186
ANTONINA	185
ARIANA	185
BETHINA	185
EDNA	185
LILIIA	185
MIKA	185
SANNIE	185
WENDY	185
CATJA	184
LOA	184
NASRIN	184
SINNE	184
ADELINA	183
EDINA	183
KARIMA	183
RAMONA	183
BENDE	182
DILAN	182
LIYA	182
MAJ-BRIT	182
SHIRIN	182
MARZENA	181
CINDIE	180
HÜLYA	180
DANIA	179
INGVILD	179
SANJA	179
ALEYNA	178
HEIKE	178
ANN-SOPHIE	177
DEBORAH	177
ELIANA	176
GRAZYNA	176
GUNNA	176
HAFSA	176
HALIME	176
KORNELIA	176
MIRELA	176
ANNE-KATHRINE	175
ASHA	175
ÖZLEM	175
AJLA	174
DENICE	174
EVIE	174
LUKA	174
SAMAR	174
SHARON	174
IBI	173
TORA	173
YARA	173
EDDA	172
FREYJA	172
KÜBRA	172
NICOLETA	172
NIKOLA	172
SELENA	172
AYESHA	171
MARGARITA	171
MARGITH	171
NANNY	171
TUGBA	171
WIVI	171
ZAHRAA	171
ABIR	170
ANNITTA	170
AYAT	170
KATHLEEN	170
MICHELL	170
SAFIYA	170
ARINA	169
MARIA-LOUISE	169
GALINA	168
PI	168
AVIAYA	167
JOYCE	167
KÄTE	167
NELLI	167
SANELA	167
SEVIM	167
SHILA	167
SONGÜL	167
ARYA	166
IREM	166
HILAL	165
KIRSTI	165
PAMELA	165
REEM	165
ROSALINA	165
FARIDA	164
HIRA	164
IEVA	164
JOANA	164
LARISA	164
EMILIJA	163
EMMALIE	163
LUCIE	163
VIRA	163
ANNA-SOFIE	162
FRANZISKA	162
KELLY	162
LUA	162
SIDRA	162
SUS	162
TEODORA	162
ANETT	161
ANNICA	161
ANNITA	161
DIANE	161
DINNA	161
INAYA	161
KATHRIN	161
NOURA	161
THUY	161
MIRANDA	160
PETREA	160
SIMA	160
URSZULA	160
BEATRIZ	159
HAYAT	159
ISRAA	159
KATIA	159
NATHALIA	159
TIA	159
VIRGINIA	159
AMELA	158
GUNILLA	158
MARITA	158
ZELINA	158
AMNA	157
BEA	157
SUZETTE	157
BOZENA	156
CEMILE	156
COCO	156
DALAL	156
METTE-MARIE	156
NATALIYA	156
EILEEN	155
FILIZ	155
MA	155
HALINA	154
HEDDA	154
JANNA	154
KIMIE	154
LILIA	154
YEVHENIIA	154
BINE	153
CELESTE	153
MELIKA	153
NGOC	153
ROZA	153
SABAH	153
ANNETT	152
SUSSE	152
SUZANA	152
ALEXIA	151
AMILIA	151
AYAN	151
JOSEFINA	151
LAYAN	151
LIANE	151
SALINA	151
TÜRKAN	151
GABRIELLE	150
MARYAN	150
MILEY	150
RASHA	150
SAIMA	150
SERIFE	150
SOUAD	150
LATIFA	149
MALAIKA	149
SADAF	149
TASNIM	149
AGATHE	148
GITA	148
RØSKVA	148
SAIDA	148
SINEM	148
ELIFE	147
SANAA	147
VESNA	147
YUSRA	147
BERIVAN	146
LILL	146
EDYTA	145
RAYAN	145
ROXANA	145
SØRINE	145
ZLATA	145
ANNABEL	144
ASLI	144
CHANEL	144
CHRISTINNA	144
DONNA	144
ELENI	144
EMAN	144
JUSTINE	144
NATHJA	144
PALMA	144
UNNI	144
VILDA	144
WAFAA	144
AVIN	143
EDITA	143
MAGDALENE	143
MANON	143
SENADA	143
ALEX	142
AMELIE	142
ANNE-MARGRETHE	142
EMBLA	142
LEEN	142
NATHALI	142
RASA	142
ZIA	142
AYNUR	141
ISRA	141
KIMBERLY	141
MELIHA	141
PAOLA	141
PENELOPE	141
SABRINE	141
SHAZIA	141
ADELA	140
BJÖRK	140
FRIEDA	140
LITA	140
MARIYA	140
SEVDA	140
SINA	140
FAIZA	139
LORENA	139
EMELY	138
MARGRETE	138
MELINDA	138
SABA	138
STEFANIA	138
ALLIE	137
GAMZE	137
KIRSA	137
LEONA	137
MADDIE	137
MARÍA	137
APRIL	136
AYSEL	136
BERFIN	136
BETINNA	136
BETÜL	136
JUDIT	136
YING	136
ANKE	135
NETTE	135
SILVANA	135
AURELIA	134
HONG	134
RAWAN	134
SYEDA	134
BRENDA	133
IULIIA	133
MANAR	133
MARA	133
MARLENA	133
MERAL	133
NEDA	133
AHLAM	132
LI	132
NOMI	132
CAROLA	131
FLORENCE	131
GUNDA	131
YEVA	131
AMRA	130
FATEN	130
FLEUR	130
JAMILLA	130
MELODY	130
ROBIN	130
SEMA	130
SEVGI	130
SHIRLEY	130
SUSANA	130
WANDA	130
AALIYAH	129
ALENA	129
ALINE	129
DINAH	129
MARY-ANN	129
NATHASJA	129
NUR	129
LAUREN	128
MARCELA	128
MICHA	128
REGINE	128
SHERIN	128
YASMINE	128
ALESSIA	127
ANN-KATRINE	127
NIDA	127
SOFIJA	127
YAN	127
ALTHEA	126
FERNANDA	126
HODA	126
JAQUELINE	126
JING	126
RAQUEL	126
TIFFANY	126
AYTEN	125
FLORENTINA	125
JULIET	125
SCARLETT	125
SENA	125
SVALA	125
BÜSRA	124
JACKIE	124
KSENIIA	124
LEISE	124
MADALINA	124
RAMA	124
SEMRA	124
UTE	124
ZARAH	124
CYNTHIA	123
PARISA	123
PHILINA	123
TASJA	123
WENCHE	123
AMÉLIE	122
FELINE	122
FRIGGA	122
HILDUR	122
RUKIYE	122
ULRIKE	122
AZIZA	121
GHADA	121
HENNI	121
MAJBRITH	121
NAJMA	121
PINAR	121
RENÉE	121
RUBY	121
SALLIE	121
SEHER	121
ZINA	121
ANASTACIA	120
ANNELIE	120
LIDIIA	120
NAJAT	120
PHUONG	120
WIOLETTA	120
BEYZA	119
CILJE	119
DITTE-MARIE	119
FILUCCA	119
FRANCISCA	119
GLENNIE	119
JIHAN	119
KHRYSTYNA	119
LILA	119
MALENA	119
MIKAELA	119
MIKELA	119
ROYA	119
SALLI	119
ANINA	118
BATOUL	118
CANAN	118
DESIREE	118
HABIBA	118
IQRA	118
JUSTINA	118
KONNY	118
MARHARYTA	118
OANA	118
SABRIN	118
SERPIL	118
TETYANA	118
YILDIZ	118
ALFRIDA	117
ANNE-BIRGITTE	117
ENISA	117
ILAYDA	117
IONELA	117
JULIJA	117
MAUD	117
NABILA	117
NOEMI	117
SHAM	117
VALERIE	117
BRITHA	116
IVALU	116
MAGNA	116
MONNA	116
NADIN	116
PHILINE	116
RUTA	116
SIGRUN	116
SUMMER	116
VIGDIS	116
ZOÉ	116
AUDREY	115
DANIJELA	115
DARYNA	115
DENISA	115
FARZANA	115
HAMIDA	115
LUDMILA	115
NELE	115
NIKOLINA	115
ANASTASIJA	114
ANIA	114
ARIANNA	114
ASHLEY	114
EMEL	114
GÜLÜZAR	114
HAZAL	114
HEVIN	114
RAHMA	114
TURID	114
ANTJE	113
CARIN	113
HODAN	113
KATALIN	113
MARI-ANN	113
MILLIE	113
NILLE	113
OLESIA	113
BABETTE	112
DUA	112
FRANKA	112
GRETHA	112
IVANNA	112
KAYLA	112
MILICA	112
MISCHA	112
SAMAH	112
SAMINA	112
TONNI	112
ALMIRA	111
DRAGANA	111
EMMIE	111
HAMIDE	111
HANAA	111
MINE	111
NIKA	111
RASMINE	111
SAKINA	111
STEFFANIE	111
VANJA	111
ADDA	110
ALBINA	110
BRITH	110
JURGITA	110
KIRSTIN	110
LIDA	110
MIRNA	110
TALA	110
TALIA	110
TASCHA	110
WICKI	110
ZAKIA	110
ALVILDE	109
ANHELINA	109
DUNYA	109
ELAINE	109
EMMELINE	109
EMMI	109
ESZTER	109
GIZEM	109
MIRJANA	109
NARIN	109
NIA	109
RIA	109
ATHENE	108
FADIA	108
JENNA	108
SHABNAM	108
BIRGITHE	107
DESIRÉE	107
DIJANA	107
GORDANA	107
JYTTA	107
NATASIA	107
NILA	107
ROJIN	107
SAWSAN	107
SERAP	107
SUNA	107
TONNY	107
VANILLA	107
ARIA	106
AYSEGÜL	106
CAROL	106
HAJAR	106
LUIZA	106
ALYA	105
BAYAN	105
CAIA	105
DEBORA	105
JANINE	105
LAVIN	105
NAZLI	105
NIVI	105
NOORA	105
ROSITA	105
SELINE	105
TÜLAY	105
ZAYNAB	105
AMBER	104
BELMA	104
ESMERALDA	104
GLADYS	104
GÜLAY	104
MAIDA	104
NATASA	104
RIM	104
SUSANN	104
ADINA	103
ANI	103
EDIT	103
ELSEMARIE	103
ETHEL	103
HAMDI	103
KICKI	103
MALU	103
MARLIE	103
NAZIA	103
PALOMA	103
RITHA	103
SAMA	103
ALESSANDRA	102
ANCA	102
CHRISTIN	102
EGLE	102
FEDERICA	102
HANADI	102
HANNELORE	102
JANICE	102
JUDI	102
KATIE	102
MIRAY	102
MIRSADA	102
REBECKA	102
SHAHNAZ	102
TABITHA	102
ARIFE	101
NANETTE	101
NATJA	101
NESLIHAN	101
RAISA	101
SALIHA	101
SELDA	101
ABEER	100
ANNA-MARIA	100
ANNELINE	100
ANNE-MERETE	100
NERMIN	100
SAFAA	100
VANDA	100
VARVARA	100
VINI	100
AMINE	99
ARZU	99
ASMIN	99
FLORENCIA	99
HADIL	99
HAWA	99
HOUDA	99
INDIRA	99
IRMELIN	99
LAN	99
MASOUMEH	99
PRIYANKA	99
SANDI	99
SEBRINA	99
YULIA	99
ZOYA	99
AINA	98
ALISON	98
AYSHA	98
BRIGITTA	98
CAJSA	98
EVIN	98
FRANCISKA	98
INGE-LIS	98
JANETTE	98
JEANNETT	98
MADISON	98
MAIKE	98
MANISHA	98
MERRY	98
MITRA	98
NAN	98
SUNITA	98
SUSSANNE	98
YVETTE	98
FELINA	97
GEMMA	97
INEZ	97
JENSINE	97
LARISSA	97
LEONIE	97
NATALIJA	97
PHOEBE	97
ZAHIDA	97
ADRIANNA	96
CÉLINE	96
KIARA	96
MADICKEN	96
MARLEY	96
NURAY	96
RALUCA	96
RANDA	96
TESS	96
ADELE	95
CATALEYA	95
FARIBA	95
GRITT	95
HAVVA	95
KAMILE	95
LAMIA	95
MARIAH	95
NISHA	95
PERIHAN	95
SERENA	95
SYNNØVE	95
ALISSA	94
AMINAH	94
CILIA	94
DIMA	94
FATIME	94
FIDAN	94
JANNAH	94
KIRI	94
LOU	94
SASKIA	94
SHANNON	94
VILLA	94
YAGMUR	94
ZUZANA	94
ALEENA	93
