Efternavne, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
HANDBERG	536
MUNKSGAARD	536
BERNTSEN	534
KAISER	534
SUHR	534
AMIN	532
BRANDSTRUP	532
HEJLESEN	532
PAPE	532
DIDRIKSEN	531
REIMER	531
OTTO	529
THIESEN	529
ALEXANDERSEN	528
LAM	527
WEINREICH	527
ØSTERGÅRD	526
KREBS	524
OTTE	524
SKOVBJERG	524
BALLING	523
BLICHER	522
HALBERG	521
KRING	520
LAMBERTSEN	520
LINDGREEN	520
RING	520
BRASK	519
DJURHUUS	519
GRAVGAARD	519
HYLLESTED	519
SARI	519
BOJESEN	518
HVASS	517
YUSUF	517
FOSS	516
RYE	516
THORHAUGE	516
RYBERG	515
SØNNICHSEN	515
BENNEDSEN	514
KONDRUP	514
KUDSK	513
WILLIAMS	513
ÖZDEMIR	513
AMSTRUP	512
SEHESTED	512
ZIMMERMANN	512
BUTT	511
FRISK	511
RINGGAARD	511
SVENSTRUP	511
PILEGAARD	508
THYSSEN	508
NOWAK	507
AZIZ	506
MARTIN	506
GAARDE	505
HUSUM	504
PETTERSSON	503
WIBERG	503
VESTERGÅRD	502
GULDBRANDSEN	500
SAID	499
ENGSTRØM	498
AVCI	497
ERIKSSON	497
GRØNDAHL	497
JOSEPHSEN	497
KØHLER	497
LODBERG	497
VEST	496
VU	496
NIEBUHR	495
SYLVEST	494
VIBORG	494
BLADT	493
SKOVSGAARD	493
GULDBÆK	492
MØNSTED	492
HENNEBERG	491
STEFANSEN	491
DEMANT	490
DUELUND	490
VINTER	490
HARTVIGSEN	489
WINKLER	489
DAMBORG	488
KLINT	488
WERNER	488
WEISS	487
FREDSLUND	486
HELBO	486
KLIT	486
MARTENSEN	486
NYMARK	485
RIISE	485
HOLME	484
FUNDER	482
THESTRUP	481
THISTED	481
THOMAS	481
KIILERICH	480
LUNDQVIST	480
STENTOFT	479
JONSSON	478
MOOS	478
FILTENBORG	477
FRANCK	477
HØJBERG	477
LENTZ	477
WESTERMANN	477
ØRSKOV	476
ARSLAN	475
BOCK	474
SUNESEN	473
HAANING	472
FYHN	471
GEISLER	471
ULRIKSEN	471
ELBÆK	470
GUSTAFSSON	470
JONES	469
MAHLER	469
WU	469
BECHMANN	468
GLERUP	468
HAASTRUP	468
HILDEBRANDT	468
RYGAARD	468
RØNNOW	468
STRYHN	468
HEIDE	467
KALLESØE	467
FÆRCH	466
LUNDGREEN	466
PUGGAARD	465
HALVORSEN	464
RIX	464
WINKEL	464
BILDE	463
HOLDT	463
LOFT	463
MEISNER	463
QUIST	463
BENNETSEN	461
KEHLET	461
KONRADSEN	461
NORDSTRØM	461
REINHOLDT	461
BEKKER	460
ZIEGLER	460
BEGUM	457
KAMPER	456
MELCHIORSEN	456
ØRSTED	456
BERGER	455
