Fornavne til mænd, 1. januar 2025
(kun navne med tre eller flere forekomster)

Navn	ANTAL
ÅGE	141
CLEMENT	140
KRISHNA	140
NELSON	140
RAJA	140
REGIN	140
RUMLE	140
VIRGIL	140
CEMAL	139
COOPER	139
HOANG	139
INGVARD	139
JOEN	139
KELVIN	139
KEWIN	139
MARCOS	139
QUANG	139
TARAS	139
ARAM	138
BERNARD	138
CHANO	138
ERCAN	138
KETIL	138
KOSTIANTYN	138
MESUT	138
MIRSAD	138
DIETER	137
FRANCO	137
HARTVIG	137
HEINI	137
NASSER	137
MUHAMMET	136
RICCARDO	136
SAIF	136
SHANE	136
DUC	135
GÜNTHER	135
KENTH	135
MYKYTA	135
NATAN	135
ASIM	134
CLIFF	134
DYLAN	134
EJLIF	134
EMAD	134
LEWIS	134
NIELS-PETER	134
ALMIR	133
BRYAN	133
PETRU	133
QUOC	133
SVENNING	133
WILLE	133
BASHIR	132
EROL	132
GORDON	132
SERHAT	132
SVEND-AAGE	132
XAVIER	132
ZAID	132
AKRAM	131
CHRISTER	131
EDWIN	131
EKREM	131
ILHAN	131
KORNELIUS	131
NELS	131
TAHIR	131
CENGIZ	130
DAMIEN	130
DANTE	130
ENVER	130
HORST	130
MATHIES	130
SALMAN	130
SAMET	130
YAZAN	130
YEHOR	130
AMJAD	129
EDDY	129
ERDAL	129
BÜLENT	128
DOGAN	128
GEO	128
GHULAM	128
KYRYLO	128
MICHELE	128
RYSZARD	128
THURE	128
UGUR	128
ALEKSANDR	127
ANDRIUS	127
AYAAN	127
DIMITAR	127
EILIF	127
VIACHESLAV	127
VILAS	127
ADIS	126
ADMIR	126
ANDREJ	126
CASPIAN	126
DAG	126
DANILO	126
HAYDAR	126
CIHAN	125
EHSAN	125
JANIS	125
MATVII	125
MELIH	125
PETRO	125
CILAS	124
FOUAD	124
GUDMUND	124
LUCIAN	124
MAHAD	124
MARCELO	124
NIKOLAY	124
YOSEF	124
ALBIN	123
ALEXANDROS	123
DONALD	123
KENNIE	123
MIKLAS	123
BÜNYAMIN	122
GHASSAN	122
HABIB	122
ISSAM	122
CHRISTOS	121
ENGIN	121
GARY	121
GREGORY	121
JUST	121
KEAN	121
LESZEK	121
RAMADAN	121
TIMMI	121
ENRICO	120
INGO	120
JIHAD	120
MARCELL	120
RAINER	120
SADIK	120
WILLEM	120
YASAR	120
ANGEL	119
JOÃO	119
PAULIUS	119
RECEP	119
SULAIMAN	119
FJORD	118
LORENZ	118
TRYGVE	118
VALTHER	118
ARYAN	117
IONEL	117
MATEI	117
MATHEUS	117
TARIQ	117
ANAKIN	116
ASAD	116
EDMUND	116
EZRA	116
KNUT	116
AMIT	115
ARILD	115
CIPRIAN	115
NADER	115
NORH	115
VOLKAN	115
ANTOINE	114
BENDIX	114
DOUGLAS	114
GUSTAVO	114
HAKON	114
NASIR	114
SIMONE	114
FREDERIC	113
MILES	113
BJARNI	112
BOJE	112
JULIEN	112
MAHIR	112
NURI	112
RAUL	112
SHADI	112
ABDULKADIR	111
ALEKS	111
ELIJAH	111
JAIME	111
MIKAL	111
RENO	111
TAIM	111
TIMUR	111
FILIPPO	110
GAVIN	110
GUILLERMO	110
HUSSAM	110
KAAN	110
MARIN	110
MOSES	110
RAHUL	110
REMI	110
TYGE	110
WISSAM	110
YASIR	110
DANI	109
LEONID	109
MILOS	109
NERMIN	109
SAMAN	109
SHAUN	109
SVANTE	109
ALDIN	108
ALEC	108
ANDRIY	108
CARL-ERIK	108
ERNEST	108
FIRAS	108
KAMRAN	108
LAITH	108
LESLIE	108
MOUSSA	108
NICKOLAS	108
RAMIN	108
SERGIU	108
TUDOR	108
YANNICK	108
YASER	108
ELIOT	107
GIACOMO	107
HAAKON	107
JÖRG	107
MORTEZA	107
RONI	107
SERDAR	107
SORIN	107
VILBERT	107
ARUN	106
BELAL	106
KAWA	106
RAM	106
SYLWESTER	106
ZOLTAN	106
ABED	105
EL	105
JOZEF	105
LUCCA	105
MAXIMUS	105
NIELS-OLE	105
PANAGIOTIS	105
TYMOFII	105
ALVARO	104
SALVATORE	104
SHAHID	104
VIOREL	104
ZSOLT	104
AJDIN	103
AYDIN	103
ERHAN	103
LEE	103
RAHIM	103
THORLEIF	103
ØJVIND	103
ARJUN	102
NAIM	102
NAVID	102
OKTAY	102
PAU	102
SEMIH	102
STINUS	102
VALENTINO	102
ABDURRAHMAN	101
DEREK	101
EBRAHIM	101
LARS-ERIK	101
LAUS	101
NOUR	101
OZAN	101
TOMMAS	101
CHRISTOPHE	100
COSMIN	100
MAJED	100
MATTHEO	100
PRINCE	100
SALEM	100
STANLEY	100
TERJE	100
VAHID	100
DEIVIDAS	99
ERICH	99
FREDDI	99
GERARD	99
HICHAM	99
JACKSON	99
JAIS	99
JALTE	99
LENNARD	99
LIONEL	99
NICOLA	99
VALDER	99
CHARLY	98
FARHAN	98
GONZALO	98
IHSAN	98
LARS-BO	98
MARTYNAS	98
NINO	98
STUART	98
ZELJKO	98
ATILLA	97
DANIJEL	97
EYVIND	97
HARLY	97
MATTIA	97
OVIDIU	97
PIETER	97
SHAHIN	97
ZAKI	97
CARL-CHRISTIAN	96
CLAUDIU	96
DRAGOS	96
ELIAZ	96
ENIS	96
JOHS	96
MATEJ	96
MOUSTAFA	96
PIETRO	96
ROHAN	96
SVENN	96
TUAN	96
DONATAS	95
DUY	95
FAHAD	95
LEAN	95
SABRI	95
SASA	95
SEAD	95
SELCUK	95
SULTAN	95
TIAGO	95
TYLER	95
AMEL	94
BASEL	94
CEM	94
ELIO	94
GERD	94
ISMAEL	94
KASIM	94
TADEUSZ	94
CLEMENS	93
DANIELE	93
EMIRHAN	93
ENSAR	93
HENRYK	93
LENNARTH	93
NADEEM	93
SAFET	93
TAMÁS	93
VYTAUTAS	93
WIESLAW	93
WILBERT	93
ALBAN	92
ALIN	92
ARTURAS	92
ASIF	92
FIKRET	92
HAROON	92
KEVEN	92
KRISTJAN	92
LIAN	92
LUCIANO	92
MAXIME	92
MIKHAIL	92
PETUR	92
TEJS	92
ÜMIT	92
ZIGGY	92
ANES	91
GABRIELE	91
KARL-JOHAN	91
KLAES	91
MIRKO	91
MOHAMUD	91
NIKO	91
NOLAN	91
RAMESH	91
TOMÁS	91
YAVUZ	91
YUSEF	91
BENN	90
HAKIM	90
HISHAM	90
JOSIAS	90
MAKSYMILIAN	90
MALCOLM	90
MIR	90
SANTOSH	90
TINUS	90
VLADISLAV	90
ABD	89
DIYAR	89
EUGEN	89
JAY	89
JENS-JØRGEN	89
MALDE	89
MATT	89
MEHRDAD	89
MICKY	89
RASIM	89
VILLI	89
WILMER	89
WILSON	89
ØYVIND	89
ABDALLA	88
DAVYD	88
JWAN	88
RAZVAN	88
RESUL	88
RUI	88
SAMEER	88
TADAS	88
YIGIT	88
YOUSIF	88
ALESSIO	87
AMAN	87
BABAK	87
CEZARY	87
KAROLIS	87
MUSAB	87
RAMAN	87
SAEID	87
XUAN	87
CESAR	86
COSTEL	86
DARREN	86
HANS-JØRN	86
ISTVAN	86
LARS-HENRIK	86
LENNERT	86
LEVENT	86
LIBAN	86
MILOSZ	86
NENAD	86
NIHAT	86
OKAN	86
SERGIY	86
SUNIL	86
ZACHARY	86
ALEXIS	85
ARTURS	85
ARVIN	85
BRANDON	85
DEEPAK	85
ELVIR	85
FARIS	85
HILMAR	85
JAFAR	85
MIRCEA	85
MURAD	85
RAJESH	85
SABAH	85
STIAN	85
TOLGA	85
VALENTYN	85
WASIM	85
ABDULAZIZ	84
ANH	84
ASHRAF	84
BASHAR	84
DINH	84
HUNG	84
JULIO	84
LASZLO	84
MAZEN	84
NIKODEM	84
NUNO	84
